feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
6255,-0.3027461,0.0,0.3027461,0.0,2.9630945,-0.12802346
9457,-0.30288222,0.0,0.30288222,0.0,2.557856,-0.14837277
7072,-0.30307767,0.0,0.30307767,0.0,3.7796946,-0.100474015
1748,-0.30310062,0.0,0.30310062,0.0,4.371375,-0.086881086
1887,-0.30324662,0.0,0.30324662,0.0,4.37349,-0.08688091
12451,-0.30364814,0.44770923,0.7513574,2.7487788,3.6410534,-0.09078416
481,-0.30369037,0.0,0.30369037,0.0,4.379888,-0.086880945
9366,-0.30373052,0.0,0.30373052,0.0,4.380466,-0.08688096
5295,-0.3038018,0.0,0.3038018,0.0,4.381491,-0.08688102
10351,-0.3039235,0.0,0.3039235,0.0,4.383242,-0.08688109
11724,-0.30395743,0.0,0.30395743,0.0,4.032348,-0.094452016
3500,-0.30400693,1.3666056,1.6706126,2.8174021,3.1696217,-0.09979052
10767,-0.30410945,0.0,0.30410945,0.0,3.256573,-0.11701071
5992,-0.30444658,1.1106961,1.4151427,2.109558,2.2813249,-0.1371074
10870,-0.3048418,0.0,0.3048418,0.0,4.396496,-0.08688091
11371,-0.30485174,0.0,0.30485174,0.0,4.396639,-0.086880915
12236,-0.3048693,0.0,0.3048693,0.0,4.396891,-0.08688094
8764,-0.30513164,0.10872085,0.41385248,0.8371667,5.0568476,-0.07502354
7862,-0.30529118,0.06611918,0.37141034,0.721275,4.974871,-0.07643678
3004,-0.30530962,0.0,0.30530962,0.0,4.4032407,-0.08688095
4875,-0.30531517,0.0,0.30531517,0.0,1.970505,-0.1941455
224,-0.30538452,0.0,0.30538452,0.0,4.4043183,-0.086881004
15669,-0.30552456,0.0,0.30552456,0.0,4.4063334,-0.086881086
5453,-0.30559534,0.0,0.30559534,0.0,4.4073653,-0.08688087
4153,-0.30566314,0.047792453,0.3534556,0.52135473,5.097613,-0.07491034
9792,-0.30581376,0.054877937,0.3606917,0.59864664,4.6182804,-0.08257778
6739,-0.3061138,0.0,0.3061138,0.0,4.414839,-0.08688095
7899,-0.30620268,0.0,0.30620268,0.0,4.416117,-0.08688102
7866,-0.30631462,0.0,0.30631462,0.0,3.745027,-0.10248712
6610,-0.3063839,0.0,0.3063839,0.0,4.4187245,-0.08688114
12768,-0.30663425,0.0,0.30663425,0.0,4.4223404,-0.08688104
322,-0.30668747,0.0,0.30668747,0.0,3.8399744,-0.10007468
4472,-0.30679375,0.0,0.30679375,0.0,4.424649,-0.086880885
16311,-0.30687407,0.0,0.30687407,0.0,4.425804,-0.08688094
4715,-0.30691317,0.0,0.30691317,0.0,4.4263673,-0.08688095
8663,-0.30703205,0.0,0.30703205,0.0,4.428077,-0.08688104
14275,-0.30709487,0.0,0.30709487,0.0,4.1073794,-0.09368375
10492,-0.30712885,0.0,0.30712885,0.0,4.42947,-0.08688111
14808,-0.3072873,0.0,0.3072873,0.0,3.64765,-0.105557226
8335,-0.30778694,0.0,0.30778694,0.0,4.4389663,-0.086881004
15102,-0.30800948,0.0,0.30800948,0.0,4.4421816,-0.08688089
7196,-0.30802664,0.0,0.30802664,0.0,4.4424286,-0.0868809
